Year,NOC,region,Sport,Event,Medal
2008,KOR,South Korea,Judo,Judo Women's Half-Heavyweight,Bronze
1992,KOR,South Korea,Judo,Judo Men's Lightweight,Bronze
1992,KOR,South Korea,Archery,Archery Men's Individual,Silver
2012,KOR,South Korea,Badminton,Badminton Men's Doubles,Bronze
2004,KOR,South Korea,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
2012,KOR,South Korea,Fencing,"Fencing Men's epee, Individual",Bronze
1996,KOR,South Korea,Judo,Judo Women's Lightweight,Silver
1996,KOR,South Korea,Judo,Judo Women's Half-Middleweight,Bronze
2000,KOR,South Korea,Judo,Judo Women's Half-Middleweight,Bronze
1964,KOR,South Korea,Boxing,Boxing Men's Bantamweight,Silver
2008,KEN,Kenya,Athletics,"Athletics Women's 3,000 metres Steeplechase",Silver
2012,KEN,Kenya,Athletics,Athletics Women's Marathon,Silver
1964,CAN,Canada,Athletics,Athletics Men's 100 metres,Bronze
1996,FRA,France,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
1972,SWE,Sweden,Archery,Archery Men's Individual,Silver
1992,CAN,Canada,Sailing,Sailing Mixed Two Person Keelboat,Bronze
2012,USA,USA,Athletics,Athletics Women's 100 metres,Silver
1988,USA,USA,Sailing,Sailing Women's Two Person Dinghy,Gold
1984,USA,USA,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
2000,CHN,China,Badminton,Badminton Men's Singles,Gold
1968,KOR,South Korea,Boxing,Boxing Men's Light-Flyweight,Silver
2004,CHN,China,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
2000,CHN,China,Cycling,Cycling Women's 500 metres Time Trial,Bronze
2008,CHN,China,Archery,Archery Men's Team,Bronze
2004,CHN,China,Cycling,Cycling Women's 500 metres Time Trial,Silver
2008,CHN,China,Swimming,Swimming Women's 200 metres Butterfly,Silver
2012,CHN,China,Swimming,Swimming Women's 200 metres Butterfly,Gold
1968,MNG,,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
2000,MEX,Mexico,Weightlifting,Weightlifting Women's Lightweight,Gold
2004,KOR,South Korea,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
2008,KOR,South Korea,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
2008,KOR,South Korea,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
2012,KOR,South Korea,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
2016,KOR,South Korea,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
2008,CHN,China,Rowing,Rowing Women's Quadruple Sculls,Gold
2012,CHN,China,Wrestling,"Wrestling Women's Middleweight, Freestyle",Silver
1972,KEN,Kenya,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
2000,CZE,Czech Republic,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1996,KOR,South Korea,Judo,Judo Men's Half-Middleweight,Bronze
2000,KOR,South Korea,Judo,Judo Men's Half-Middleweight,Silver
1976,KOR,South Korea,Judo,Judo Men's Open Class,Bronze
2012,KOR,South Korea,Judo,Judo Men's Half-Lightweight,Bronze
1996,KOR,South Korea,Judo,Judo Women's Middleweight,Gold
2000,KOR,South Korea,Judo,Judo Women's Middleweight,Bronze
2004,KOR,South Korea,Boxing,Boxing Men's Featherweight,Bronze
1984,KOR,South Korea,Judo,Judo Men's Heavyweight,Bronze
1988,KOR,South Korea,Judo,Judo Men's Heavyweight,Bronze
1968,USA,USA,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
1976,SWE,Sweden,Cycling,"Cycling Men's Road Race, Individual",Gold
2008,SWE,Sweden,Cycling,"Cycling Women's Road Race, Individual",Silver
2016,SWE,Sweden,Cycling,"Cycling Women's Road Race, Individual",Silver
1984,SWE,Sweden,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
1984,SWE,Sweden,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1980,SWE,Sweden,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
1988,SWE,Sweden,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
1992,SWE,Sweden,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
1984,CAN,Canada,Athletics,Athletics Men's 100 metres,Bronze
2000,USA,USA,Archery,Archery Men's Team,Bronze
1992,CAN,Canada,Boxing,Boxing Men's Middleweight,Bronze
1992,USA,USA,Athletics,Athletics Men's Decathlon,Bronze
1968,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1968,USA,USA,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
1972,USA,USA,Athletics,Athletics Men's Pole Vault,Bronze
1984,USA,USA,Swimming,Swimming Women's 100 metres Butterfly,Silver
1984,USA,USA,Gymnastics,Gymnastics Women's Balance Beam,Bronze
1972,USA,USA,Boxing,Boxing Men's Middleweight,Bronze
1996,USA,USA,Athletics,Athletics Men's 200 metres,Gold
1996,USA,USA,Athletics,Athletics Men's 400 metres,Gold
1960,USA,USA,Athletics,Athletics Men's Decathlon,Gold
2008,USA,USA,Gymnastics,Gymnastics Women's Individual All-Around,Silver
2008,USA,USA,Gymnastics,Gymnastics Women's Team All-Around,Silver
2008,USA,USA,Gymnastics,Gymnastics Women's Floor Exercise,Silver
2008,USA,USA,Gymnastics,Gymnastics Women's Balance Beam,Gold
2016,USA,USA,Tennis,Tennis Men's Doubles,Bronze
2004,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Silver
2008,USA,USA,Athletics,Athletics Women's 400 metres Hurdles,Silver
1980,FRA,France,Fencing,"Fencing Men's Foil, Individual",Silver
1968,USA,USA,Boxing,Boxing Men's Middleweight,Bronze
1960,AUS,Australia,Athletics,Athletics Women's 800 metres,Silver
2012,USA,USA,Swimming,Swimming Men's 50 metres Freestyle,Silver
1960,GBR,UK,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1984,USA,USA,Athletics,Athletics Men's 800 metres,Bronze
1964,USA,USA,Athletics,Athletics Men's 110 metres Hurdles,Gold
2012,GBR,UK,Taekwondo,Taekwondo Women's Featherweight,Gold
2016,GBR,UK,Taekwondo,Taekwondo Women's Featherweight,Gold
2000,AUS,Australia,Swimming,Swimming Women's 100 metres Breaststroke,Silver
2004,AUS,Australia,Swimming,Swimming Women's 200 metres Breaststroke,Silver
2008,AUS,Australia,Swimming,Swimming Women's 100 metres Breaststroke,Gold
2008,AUS,Australia,Swimming,Swimming Women's 200 metres Breaststroke,Silver
2016,NZL,New Zealand,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
2000,AUS,Australia,Triathlon,Triathlon Women's Olympic Distance,Silver
1996,USA,USA,Boxing,Boxing Men's Heavyweight,Bronze
1992,USA,USA,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
1964,USA,USA,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
1988,USA,USA,Boxing,Boxing Men's Light-Middleweight,Silver
2008,THA,Thailand,Boxing,Boxing Men's Flyweight,Gold
1992,AUT,Austria,Rowing,Rowing Men's Double Sculls,Silver
1964,FRA,France,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
1964,FRA,France,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
1968,FRA,France,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
1972,SWE,Sweden,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
2008,KOR,South Korea,Archery,Archery Women's Team,Gold
1980,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
2016,USA,USA,Triathlon,Triathlon Women's Olympic Distance,Gold
1988,USA,USA,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
1992,USA,USA,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
2012,GBR,UK,Boxing,Boxing Men's Super-Heavyweight,Gold
1984,YUG,Serbia,Boxing,Boxing Men's Light-Heavyweight,Gold
2004,FRA,France,Judo,Judo Women's Extra-Lightweight,Silver
1976,CAN,Canada,Athletics,Athletics Men's High Jump,Silver
1996,AUS,Australia,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
2016,GBR,UK,Boxing,Boxing Men's Super-Heavyweight,Silver
1984,USA,USA,Athletics,Athletics Women's Heptathlon,Silver
1988,USA,USA,Athletics,Athletics Women's Long Jump,Gold
1988,USA,USA,Athletics,Athletics Women's Heptathlon,Gold
1992,USA,USA,Athletics,Athletics Women's Long Jump,Bronze
1992,USA,USA,Athletics,Athletics Women's Heptathlon,Gold
1996,USA,USA,Athletics,Athletics Women's Long Jump,Bronze
1960,POL,Poland,Athletics,Athletics Women's High Jump,Silver
2016,DNK,,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
1968,DNK,,Rowing,Rowing Men's Coxed Pairs,Bronze
2012,KOR,South Korea,Table Tennis,Table Tennis Men's Team,Silver
1976,CUB,Cuba,Athletics,Athletics Men's 400 metres,Gold
1976,CUB,Cuba,Athletics,Athletics Men's 800 metres,Gold
2000,USA,USA,Boxing,Boxing Men's Featherweight,Silver
2016,DNK,,Badminton,Badminton Women's Doubles,Silver
2008,AUT,Austria,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
2012,ARM,Armenia,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
1988,RUS,Russia,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
2012,BRA,Brazil,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
2004,USA,USA,Cycling,Cycling Men's Individual Time Trial,Silver
2008,MUS,,Boxing,Boxing Men's Bantamweight,Bronze
1988,COL,Colombia,Boxing,Boxing Men's Bantamweight,Bronze
1996,JPN,Japan,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
2000,KOR,South Korea,Taekwondo,Taekwondo Women's Featherweight,Gold
2016,DEU,,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
1972,GDR,Germany,Athletics,Athletics Men's High Jump,Silver
2016,DEU,,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
1976,RUS,Russia,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
2004,DEU,,Judo,Judo Men's Half-Heavyweight,Bronze
1988,RUS,Russia,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
1988,RUS,Russia,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
1996,MDA,Moldova,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
1960,RUS,Russia,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1984,AUS,Australia,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
1980,YUG,Serbia,Boxing,Boxing Men's Light-Heavyweight,Gold
1976,YUG,Serbia,Boxing,Boxing Men's Light-Middleweight,Silver
1972,POL,Poland,Weightlifting,Weightlifting Men's Lightweight,Bronze
1960,DEU,,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
2000,RUS,Russia,Tennis,Tennis Men's Singles,Gold
2016,GRC,,Sailing,Sailing Men's Two Person Dinghy,Bronze
1960,DEU,,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1972,HUN,Hungary,Boxing,Boxing Men's Welterweight,Silver
1984,JPN,Japan,Gymnastics,Gymnastics Men's Parallel Bars,Silver
1976,JPN,Japan,Gymnastics,Gymnastics Men's Horse Vault,Bronze
1992,EUN,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
1996,GRC,,Weightlifting,Weightlifting Men's Heavyweight I,Gold
2000,GRC,,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
1996,GRC,,Sailing,Sailing Men's Windsurfer,Gold
2004,GRC,,Sailing,Sailing Men's Windsurfer,Silver
1996,UKR,Ukraine,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
1960,RUS,Russia,Athletics,Athletics Women's Long Jump,Gold
1960,RUS,Russia,Athletics,Athletics Women's Javelin Throw,Bronze
2008,RUS,Russia,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze
2012,UKR,Ukraine,Weightlifting,Weightlifting Women's Lightweight,Bronze
1960,RUS,Russia,Shooting,Shooting Men's Trap,Bronze
2004,UKR,Ukraine,Sailing,Sailing Women's Three Person Keelboat,Silver
1980,RUS,Russia,Diving,Diving Women's Springboard,Gold
2004,SVK,Slovakia,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
2008,SVK,Slovakia,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
2016,USA,USA,Swimming,Swimming Men's 400 metres Individual Medley,Silver
1968,RUS,Russia,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
1972,RUS,Russia,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
1976,FIN,Finland,Athletics,Athletics Men's Pole Vault,Silver
2008,UKR,Ukraine,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze
1984,JPN,Japan,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
1968,JPN,Japan,Football,Football Men's Football,Bronze
2016,BGR,,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
2004,THA,Thailand,Weightlifting,Weightlifting Women's Lightweight,Bronze
2016,RUS,Russia,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
1964,JPN,Japan,Judo,Judo Men's Open Class,Silver
1976,RUS,Russia,Rowing,Rowing Women's Double Sculls,Bronze
2000,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
2012,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1996,UGA,Uganda,Athletics,Athletics Men's 400 metres,Bronze
1996,THA,Thailand,Boxing,Boxing Men's Featherweight,Gold
1968,HUN,Hungary,Fencing,"Fencing Men's Foil, Individual",Silver
1972,HUN,Hungary,Fencing,"Fencing Men's Foil, Individual",Silver
2008,RUS,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
1976,HUN,Hungary,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
1968,JPN,Japan,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2012,FIN,Finland,Sailing,Sailing Women's Three Person Keelboat,Bronze
2016,JPN,Japan,Swimming,Swimming Women's 200 metres Breaststroke,Gold
2000,PRK,North Korea,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
1968,FIN,Finland,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
2008,RUS,Russia,Athletics,Athletics Women's 20 kilometres Walk,Gold
2012,RUS,Russia,Athletics,Athletics Women's 20 kilometres Walk,Silver
1972,DEU,,Athletics,Athletics Men's 50 kilometres Walk,Gold
1972,FIN,Finland,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
2008,EST,Estonia,Athletics,Athletics Men's Discus Throw,Gold
2012,EST,Estonia,Athletics,Athletics Men's Discus Throw,Bronze
1980,RUS,Russia,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
2016,HUN,Hungary,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1960,RUS,Russia,Cycling,"Cycling Men's Road Race, Individual",Gold
1960,RUS,Russia,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
1960,TUR,Turkey,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
1964,TUR,Turkey,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
1964,RUS,Russia,Weightlifting,Weightlifting Men's Lightweight,Silver
2004,USA,USA,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
2004,USA,USA,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
1960,BGR,,Gymnastics,Gymnastics Men's Rings,Bronze
2000,RUS,Russia,Athletics,Athletics Men's Triple Jump,Bronze
1960,POL,Poland,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
1980,TCH,Czech Republic,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
1980,RUS,Russia,Fencing,"Fencing Men's Foil, Team",Silver
1988,RUS,Russia,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
2004,IRN,,Taekwondo,Taekwondo Men's Welterweight,Bronze
1960,RUS,Russia,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
2000,RUS,Russia,Trampolining,Trampolining Women's Individual,Gold
2000,GRC,,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
2000,RUS,Russia,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
1988,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
1992,EUN,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
1996,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
2000,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
1988,KEN,Kenya,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
1964,SWE,Sweden,Sailing,Sailing Mixed 5.5 metres,Silver
1972,SWE,Sweden,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
1972,SWE,Sweden,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
2004,KAZ,Kazakhstan,Athletics,Athletics Men's Decathlon,Bronze
1976,FIN,Finland,Rowing,Rowing Men's Single Sculls,Gold
1980,FIN,Finland,Rowing,Rowing Men's Single Sculls,Gold
1984,FIN,Finland,Rowing,Rowing Men's Single Sculls,Gold
2016,DEU,,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
2008,RUS,Russia,Wrestling,"Wrestling Women's Middleweight, Freestyle",Silver
1972,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
1972,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
1972,JPN,Japan,Gymnastics,Gymnastics Men's Parallel Bars,Silver
1972,JPN,Japan,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
2004,RUS,Russia,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
2004,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
2004,JPN,Japan,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
2008,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Silver
1980,RUS,Russia,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
2012,RUS,Russia,Weightlifting,Weightlifting Women's Super-Heavyweight,Silver
1972,GDR,Germany,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
1996,CZE,Czech Republic,Athletics,Athletics Women's Triple Jump,Bronze
1960,POL,Poland,Boxing,Boxing Men's Light-Welterweight,Bronze
1964,POL,Poland,Boxing,Boxing Men's Welterweight,Gold
1988,RUS,Russia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1980,GDR,Germany,Boxing,Boxing Men's Light-Middleweight,Bronze
1992,FIN,Finland,Swimming,Swimming Men's 200 metres Freestyle,Bronze
1972,JPN,Japan,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
2012,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Silver
2016,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
1968,JPN,Japan,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1968,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1968,JPN,Japan,Gymnastics,Gymnastics Men's Rings,Bronze
1972,JPN,Japan,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1972,JPN,Japan,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
1976,JPN,Japan,Gymnastics,Gymnastics Men's Individual All-Around,Silver
1976,JPN,Japan,Gymnastics,Gymnastics Men's Parallel Bars,Gold
2012,JPN,Japan,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1972,POL,Poland,Athletics,Athletics Men's Decathlon,Bronze
1972,DEU,,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
1960,DEU,,Athletics,Athletics Men's 400 metres,Silver
2016,SVN,,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
1972,JPN,Japan,Judo,Judo Men's Lightweight,Gold
2016,JPN,Japan,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
2012,TUR,Turkey,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
2016,TUR,Turkey,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
1992,TUR,Turkey,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
2012,LTU,Lithuania,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
1972,RUS,Russia,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
2004,RUS,Russia,Boxing,Boxing Men's Light-Flyweight,Bronze
1976,RUS,Russia,Athletics,Athletics Women's 800 metres,Gold
1976,RUS,Russia,Athletics,"Athletics Women's 1,500 metres",Gold
1980,RUS,Russia,Athletics,"Athletics Women's 1,500 metres",Gold
1976,USA,USA,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
2008,ETH,Ethiopia,Athletics,Athletics Men's Marathon,Bronze
1980,ETH,Ethiopia,Athletics,"Athletics Men's 10,000 metres",Bronze
2016,AUS,Australia,Diving,Diving Women's Synchronized Springboard,Bronze
2004,USA,USA,Athletics,Athletics Men's Marathon,Silver
1992,DEU,,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1968,KEN,Kenya,Athletics,"Athletics Men's 1,500 metres",Gold
1968,KEN,Kenya,Athletics,"Athletics Men's 5,000 metres",Silver
1972,KEN,Kenya,Athletics,"Athletics Men's 1,500 metres",Silver
2004,FRA,France,Athletics,Athletics Men's 400 metres Hurdles,Bronze
2000,GRC,,Athletics,Athletics Women's Discus Throw,Silver
2004,GRC,,Athletics,Athletics Women's Discus Throw,Silver
2000,USA,USA,Swimming,Swimming Men's 400 metres Freestyle,Bronze
2004,USA,USA,Swimming,Swimming Men's 400 metres Freestyle,Bronze
1984,AUS,Australia,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
2004,USA,USA,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
1992,AUS,Australia,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
2000,AUS,Australia,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
2016,KOS,Kosovo,Judo,Judo Women's Half-Lightweight,Gold
2004,KEN,Kenya,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
2012,KEN,Kenya,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
1960,HUN,Hungary,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Silver
2004,DEU,,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
2008,DEU,,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
2004,FIN,Finland,Shooting,Shooting Men's Skeet,Silver
1992,NZL,New Zealand,Sailing,Sailing Women's Windsurfer,Gold
1996,NZL,New Zealand,Sailing,Sailing Women's Windsurfer,Silver
2000,NZL,New Zealand,Sailing,Sailing Women's Windsurfer,Bronze
1984,NZL,New Zealand,Sailing,Sailing Men's Windsurfer,Bronze
1988,NZL,New Zealand,Sailing,Sailing Mixed Windsurfer,Gold
2016,HUN,Hungary,Swimming,Swimming Men's 200 metres Butterfly,Bronze
2016,USA,USA,Athletics,Athletics Men's Pole Vault,Bronze
2000,NLD,,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2004,NLD,,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
